"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Castle Point","NOT LABOUR",,-59.7,"Con","Lab",76.5,16.8,6.6,0.0,556,
"Boston and Skegness","NOT LABOUR",,-60.9,"Con","Lab",76.4,15.6,4.8,0.0,557,
"South Holland and the Deepings","NOT LABOUR",,-62.7,"Con","Lab",75.9,13.2,6.6,3.3,558,
,,,,,,,,,,,
"SCOTLAND ADVICE",,,,,,,,,,,
"Boundary Comm name","Tactical Voting Advice",,"SNP-Lab","Win19","Second19","CON%","LAB%","LD%","SNP%",,
"Edinburgh South","None",,-20.36,"Lab","SNP",16.8,46.2,8.19,25.86,,
"Lothian East","None",,4.35,"SNP","Lab",27.5,30.5,6.29,34.8,,
"Cowdenbeath and Kirkcaldy","None",,6.83,"SNP","Lab",22.2,29.5,6.46,36.32,,
"Glasgow North East","None",,10.02,"SNP","Lab",11.0,37.7,3.4,47.75,,
"Coatbridge and Bellshill","None",,11.08,"SNP","Lab",11.9,36.3,3,47.35,,
"Airdrie and Shotts","None",,11.49,"SNP","Lab",17.3,33.1,3.57,44.6,,
"Midlothian","None",,11.83,"SNP","Lab",21.7,29.7,7.04,41.54,,
"Rutherglen","None",,11.95,"SNP","Lab",17.3,31.2,7.19,43.1,,
"Glasgow South West","None",,12.86,"SNP","Lab",12.6,33.8,4.4,46.71,,
"Glasgow North","None",,13.44,"SNP","Lab",8.8,34.1,5.19,47.56,,
"Glasgow East","None",,15.24,"SNP","Lab",12.3,33.5,4.1,48.69,,
"Hamilton and Clyde Valley","None",,16.36,"SNP","Lab",25.5,27.1,3.83,43.45,,
"Na h-Eileanan an Iar","None",,16.84,"SNP","Lab",22.2,28.3,4.4,45.11,,
"Motherwell, Wishaw and Carluke","None",,18.46,"SNP","Lab",21.2,27.5,3.96,45.94,,
"Glasgow South","None",,18.85,"SNP","Lab",12.7,29.5,6.02,48.3,,
"Inverclyde and Renfrewshire West","None",,19.28,"SNP","Lab",17.9,28.2,6.44,47.48,,
"Glasgow West","None",,20.58,"SNP","Lab",15.4,28.0,7.52,48.59,,
"Dunfermline and Dollar","None",,20.72,"SNP","Lab",21.5,23.6,8.44,44.3,,
"West Dunbartonshire","None",,21.11,"SNP","Lab",14.2,28.6,4.18,49.69,,
"Edinburgh North and Leith","None",,22.06,"SNP","Lab",17.6,21.7,12.51,43.79,,
"Glenrothes and Mid Fife","SNP",,22.12,"SNP","Lab",15.3,27.4,4.44,49.48,,
"Edinburgh East and Musselburgh","SNP",,22.57,"SNP","Lab",14.1,26.4,6.97,48.97,,
"Paisley and Renfrewshire South","SNP",,23.92,"SNP","Lab",18.2,25.9,6.23,49.77,,
"Bathgate and Linlithgow","SNP",,24.21,"SNP","Con",24.6,18.8,8.22,43.01,,
"Edinburgh West","LIB DEM",,24.28,"LD","SNP",18.0,8.7,38.23,32.98,,
"Cumbernauld and Kirkintilloch","SNP",,24.9,"SNP","Lab",15.0,27.1,5.58,52.03,,
"Paisley and Renfrewshire North","SNP",,25.13,"SNP","Lab",19.5,23.7,7.57,48.86,,
"Livingston","SNP",,25.22,"SNP","Lab",21.9,22.0,6.2,47.26,,
"East Kilbride and Strathaven","SNP",,25.48,"SNP","Lab",21.4,21.6,6.88,47.04,,
"Orkney and Shetland","LIB DEM",,27.31,"LD","SNP",9.9,6.7,44.82,34,,
"Mid Dunbartonshire","LIB DEM",,28.45,"SNP","LD",15.6,9.4,34.49,37.88,,
"Dumfriesshire, Clydesdale and Tweeddale","SNP",,29.64,"Con","SNP",46.5,8.3,7.3,37.94,,
"Ayr, Carrick and Cumnock","SNP",,30.16,"SNP","Con",38.5,13.4,4.63,43.51,,
"Dumfries and Galloway","SNP",,31.47,"Con","SNP",43.8,9.4,5.97,40.84,,
"Kilmarnock and Loudoun","SNP",,31.93,"SNP","Con",24.3,18.9,5.13,50.84,,
"Central Ayrshire","SNP",,32.03,"SNP","Con",34.8,14.2,4.91,46.17,,
"East Renfrewshire","SNP",,32.56,"SNP","Con",35.1,12.4,7.54,44.94,,
"Dundee Central","SNP",,32.63,"SNP","Lab",11.1,23.9,5.54,56.48,,
"Edinburgh South West","SNP",,33.29,"SNP","Con",24.7,14.3,9.54,47.63,,
"Caithness, Sutherland and Easter Ross","LIB DEM",,33.57,"SNP","LD",17.3,5.3,33.59,38.88,,
"Berwickshire, Roxburgh and Selkirk","SNP",,34.03,"Con","SNP",48.5,4.7,8.07,38.76,,
"North Ayrshire and Arran","SNP",,34.63,"SNP","Con",30.9,13.9,4.38,48.54,,
"North East Fife","LIB DEM",,35.48,"SNP","LD",13.7,5.5,39.56,40.95,,
"Gordon and Buchan","SNP",,35.69,"Con","SNP",46.0,3.5,11.35,39.19,,
"Aberdeen South","SNP",,36.49,"SNP","Con",34.4,8.8,10.69,45.26,,
"West Aberdeenshire and Kincardine","SNP",,36.51,"Con","SNP",42.7,4.6,11.72,41.07,,
"Argyll, Bute and South Lochaber","SNP",,37.08,"SNP","Con",34.5,7.1,14.14,44.16,,
"Alloa and Grangemouth","SNP",,38.17,"SNP","Con",24.8,14.5,5.31,52.67,,
"Aberdeenshire North and Moray East","SNP",,38.92,"Con","SNP",48.3,4.2,4.42,43.09,,
"Inverness, Skye and West Ross-shire","SNP",,39.28,"SNP","Con",23.3,9.4,15.12,48.67,,
"Falkirk","SNP",,39.68,"SNP","Con",25.9,12.1,6.78,51.75,,
"Perth and Kinross-shire","SNP",,40.27,"SNP","Con",41.1,5.0,7.98,45.25,,
"Arbroath and Broughty Ferry","SNP",,40.73,"SNP","Con",30.3,10.2,8,50.94,,
"Aberdeen North","SNP",,40.92,"SNP","Con",24.6,12.0,7.73,52.9,,
"Moray West, Nairn and Strathspey","SNP",,41.47,"SNP","Con",40.9,4.6,5.88,46.1,,
"Stirling and Strathallan","SNP",,42.18,"SNP","Con",35.0,7.7,5.85,49.83,,
"Angus and Perthshire Glens","SNP",,46.17,"SNP","Con",39.8,4.3,4.96,50.42,,
